geometry,X,Y,School_Type,School_Name,Postal_Town
POINT (145.3643874 -38.084432),145.3643874,-38.084432,college,Hillcrest Christian College (Ayr Hill Campus),
POINT (-96.9814539 28.8155588),-96.9814539,28.8155588,college,Victoria College,
POINT (143.858787 -37.5611479),143.858787,-37.5611479,college,Arts Academy,
POINT (144.972154 -37.8103129),144.972154,-37.8103129,university,James Cook University,
POINT (145.1490967 -37.8768613),145.1490967,-37.8768613,college,Huanya Cultural Training Centre,
POINT (145.9330868 -38.1644448),145.9330868,-38.1644448,college,Tafe Gippsland,
POINT (144.970472 -37.8333125),144.970472,-37.8333125,college,Royal Australian College of General Practitioners,
POINT (144.9656975 -37.8065895),144.9656975,-37.8065895,university,RMIT Mosque / Islamic Centre,
POINT (144.9767802 -37.7983178),144.9767802,-37.7983178,college,Australian College of Complementary Medicine,
POINT (144.2815923 -36.7500371),144.2815923,-36.7500371,university,Monash University School of Rural Health,
POINT (142.9586284 -37.2796987),142.9586284,-37.2796987,university,NMIT Ararat Campus (Aradale),
POINT (142.952158 -38.1625177),142.952158,-38.1625177,college,Glenormiston College,
POINT (146.2789242 -38.1811367),146.2789242,-38.1811367,university,Monash University Dept of Rural & Indigenous Health,
POINT (144.97068 -37.829856),144.97068,-37.829856,college,Holmesglen (City Campus),
POINT (143.915296 -35.734908),143.915296,-35.734908,university,Kerang Public Library,
POINT (145.0115013 -37.666815),145.0115013,-37.666815,college,Peter Lalor Vocational College,
POINT (142.4828283 -38.3858744),142.4828283,-38.3858744,university,Deakin on Timor Warrnambool City Centre,
POINT (144.966742 -37.795561),144.966742,-37.795561,college,Australian College of Optometry,
POINT (-123.3705268 48.4268761),-123.3705268,48.4268761,college,Pacific Design Academy,
POINT (144.9663088 -37.8165633),144.9663088,-37.8165633,college,Australian College of Hair Design And Beauty,
POINT (144.7996112 -37.7425509),144.7996112,-37.7425509,college,Ames,
POINT (144.9595971 -37.8330519),144.9595971,-37.8330519,college,Afi,
POINT (144.9587777 -37.8308177),144.9587777,-37.8308177,college,Evolve College,
POINT (145.055176 -37.968916),145.055176,-37.968916,college,Floral Arts School Of Australia,
POINT (-99.1304217 23.7394122),-99.1304217,23.7394122,university,ICEST,
POINT (-99.1441857 23.7333949),-99.1441857,23.7333949,university,Universidad del Valle de México,
POINT (-99.1448114 23.7329838),-99.1448114,23.7329838,university,Rectoría Universidad Autónoma de Tamaulipas,
POINT (-99.1254014 23.7202582),-99.1254014,23.7202582,university,Normal Superior de Tamaulipas,
POINT (145.0495478 -37.7203765),145.0495478,-37.7203765,college,LaTrobe Business School,
POINT (145.119577 -37.9246578),145.119577,-37.9246578,college,Study Hub,
POINT (145.1532171 -37.9448776),145.1532171,-37.9448776,college,Skills Plus,
POINT (145.1526614 -37.9513504),145.1526614,-37.9513504,college,James And Coaching College,
POINT (-123.3683789 48.4238019),-123.3683789,48.4238019,college,Inlingua,
POINT (145.1521092 -37.9574909),145.1521092,-37.9574909,college,Maths Tuition,
POINT (145.1745496 -37.9667692),145.1745496,-37.9667692,college,Emerge Training & Consulting,
POINT (145.212594 -37.990729),145.212594,-37.990729,college,Health Arts College,
POINT (145.2131648 -37.9880586),145.2131648,-37.9880586,college,Complex Institute Of Education,
POINT (145.0644264 -37.8903046),145.0644264,-37.8903046,college,Scope,
POINT (145.1603866 -37.9632099),145.1603866,-37.9632099,college,Maths Tuition Dạy Kèm Toán,
POINT (145.2118835 -37.9835099),145.2118835,-37.9835099,college,Bri Training,
POINT (145.2118639 -37.9833926),145.2118639,-37.9833926,college,Angel Institute of Education,
POINT (144.282538 -36.7499918),144.282538,-36.7499918,university,La Trobe University,
POINT (144.4432328 -37.6768169),144.4432328,-37.6768169,college,The Laurels,
POINT (145.0428011 -37.5051521),145.0428011,-37.5051521,college,NMIT Eden Park Campus,
POINT (144.9470675 -37.8029982),144.9470675,-37.8029982,college,Bastow Institute,
POINT (145.1523109 -37.9449071),145.1523109,-37.9449071,college,Chisholm,
POINT (145.1510151 -37.9450738),145.1510151,-37.9450738,college,ECCS Training Centre,
POINT (145.1528618 -37.9448483),145.1528618,-37.9448483,college,James An,
POINT (145.1522911 -37.945272),145.1522911,-37.945272,college,Edu Kingdom College,
POINT (-67.1515441 18.40226),-67.1515441,18.40226,university,CTMAPR,
POINT (145.0044896 -37.7371387),145.0044896,-37.7371387,college,James An College,
POINT (145.004433 -37.7371292),145.004433,-37.7371292,college,Australia Asia Education,
POINT (145.0041313 -37.7471696),145.0041313,-37.7471696,college,St John’s College,
POINT (144.999049 -37.7664138),144.999049,-37.7664138,college,Bright Institute,
POINT (145.2026438 -37.9681308),145.2026438,-37.9681308,college,Roshchem,
POINT (145.0900832 -37.8980611),145.0900832,-37.8980611,college,Edu Kingdom College,
POINT (144.7741065 -37.7713244),144.7741065,-37.7713244,college,Kumon,
POINT (144.8945279 -37.7993041),144.8945279,-37.7993041,college,AMES Australia,
POINT (144.8925207 -37.7217466),144.8925207,-37.7217466,college,Fly Amber,
POINT (144.9537495 -37.812867),144.9537495,-37.812867,college,William Angliss Institute,
POINT (144.9725205 -37.813534),144.9725205,-37.813534,university,Monash University - City Campus,
POINT (145.0334936 -37.9778321),145.0334936,-37.9778321,college,Beaumaris Secondary College,
POINT (144.9657385 -37.8064173),144.9657385,-37.8064173,university,RMIT City Campus Children's Centre,
POINT (144.9659 -37.8055547),144.9659,-37.8055547,university,RMIT Electric Racing,
POINT (144.9659401 -37.8051408),144.9659401,-37.8051408,university,RMIT Building 56,
POINT (-96.9759693 28.8109678),-96.9759693,28.8109678,university,Jaguar Village,
POINT (145.9642761 -38.4786785),145.9642761,-38.4786785,college,TAFE Gippsland Leongatha Campus,
POINT (144.8827332 -37.8472165),144.8827332,-37.8472165,college,Rail Academy Newport,
POINT (144.9295311 -37.7991253),144.9295311,-37.7991253,college,Metro Academy,
POINT (144.9645028 -37.8070847),144.9645028,-37.8070847,college,Building 51 RMIT,
POINT (144.9608596 -37.8075506),144.9608596,-37.8075506,college,Australian National College,
POINT (144.9391231 -37.7975704),144.9391231,-37.7975704,college,Barkly International College,
POINT (145.2831034 -37.8011259),145.2831034,-37.8011259,college,U3A Croydon,
POINT (144.9643338 -37.8000374),144.9643338,-37.8000374,university,Telstra Creator Space,
POINT (144.9681039 -37.8246942),144.9681039,-37.8246942,university,Wilin Centre,
